6 Yr Rank Average,Formal Name,Friendly Name,"Query if not just the university name. 1/1/2008 through 12/31/2013. Document Title not ""Sports"" or ""Paid Notice"", Entire Document not ""were married"" or ""is to be married""",Articles,Log Articles,Type: Private 1 Public 0,Enrollment,Log Enrollment,Distance NYC,Log Distance NYC,College Prowler Liberal Rating
81.3,American University,American,"""American University"", NOT ""an American University""",603,6.401917197,1,12904,9.46529262,228.867,5.433141049,9.8
89.7,Auburn University,Auburn,,78,4.356708827,0,25134,10.13197679,991.211,6.898927428,6.58
76.7,Baylor University,Baylor,,107,4.672828834,1,15364,9.639782389,1641.041,7.403086076,5.66
85.3,Binghamton University ?SUNY,Binghamton,"""Binghamton"" AND (University OR SUNY)",196,5.278114659,0,15308,9.636130847,173.432,5.155785592,8.58
32.7,Boston College,BC,,385,5.953243334,1,13783,9.531191228,208.899,5.341850882,7.38
53.8,Boston University,BU,,820,6.70930434,1,32603,10.39215959,211.953,5.356364552,9.08
31.7,Brandeis University,Brandeis,,393,5.973809612,1,5808,8.666991557,204.777,5.321921582,9.63
78.5,Brigham Young University ?Provo,Brigham Young,"""Brigham Young""",154,5.036952602,1,34409,10.44607344,2189.465,7.691412501,5.54
15,Brown University,Brown,"""at Brown"" OR ""Brown University""",745,6.613384218,1,8885,9.092119741,181.74,5.202577094,9.3
6.2,California Institute of Technology,CalTech,"""California Institute of Technology"" OR Caltech",303,5.713732806,1,2243,7.715569535,2782.015,7.930930764,7.93
22.5,Carnegie Mellon University,Carnegie Mellon,"""Carnegie Mellon""",469,6.150602768,1,12569,9.438988744,368.241,5.908737615,8.18
39.8,Case Western Reserve University,Case Western,"""Case Western""",166,5.111987788,1,10026,9.212936998,456.344,6.123246911,8.13
85.7,Clark University,Clark,,94,4.543294782,1,3503,8.161375023,175.394,5.167034872,9.13
63.8,Clemson University,Clemson,,54,3.988984047,0,20768,9.94116862,772.527,6.64966696,6.68
32.3,College of William and Mary,William & Mary,"""William & Mary"" OR ""William and Mary""",121,4.795790546,0,10510,9.260082464,380.472,5.941412587,8.38
78.3,Colorado School of Mines,Colorado Mines,,14,2.63905733,0,5632,8.636219898,1788.551,7.489161074,7.36
6.2,Columbia University,Columbia,"""at Columbia"" OR ""Columbia University""",4395,8.38822281,1,23168,10.0505273,7.392,2.000398334,9.03
14.5,Cornell University,Cornell,Cornell,2619,7.870547845,1,21424,9.972267068,222.287,5.40396934,8.53
10.5,Dartmouth College,Dartmouth,Dartmouth,830,6.721425701,1,6277,8.744647438,266.369,5.584882566,7.46
92.7,Drexel University,Drexel,Drexel,265,5.579729826,1,18067,9.801842349,95.536,4.55950314,8.2
8.7,Duke University,Duke,"""at Duke"" OR ""Duke University""",954,6.860663671,1,15386,9.641213284,489.376,6.19313111,8.1
18.7,Emory University,Emory,Emory,594,6.386879319,1,14236,9.563529247,873.954,6.773027743,8.5
102,Florida State University,Florida State,,154,5.036952602,0,40695,10.61386051,1093.837,6.997446977,8
59.2,Fordham University,Fordham,Fordham,1340,7.200424893,1,15170,9.627075072,16.708,2.815887647,7.66
52.2,George Washington University,George Washington,,776,6.65415252,1,25653,10.1524158,229.204,5.434612437,9.03
22,Georgetown University,Georgetown,Georgetown,1679,7.425953657,1,17357,9.761751162,236.837,5.467372141,7.98
35.3,Georgia Institute of Technology,Georgia Tech,"Georgia Institute of Technology OR ""Georgia Tech""",203,5.313205979,0,21557,9.978455869,877.266,6.776810253,7.21
1.3,Harvard University,Harvard,Harvard,8470,9.044285788,1,19726,9.889692842,211.453,5.354002752,8.45
109.2,Howard University,Howard,,175,5.164785974,1,6688,8.808070155,224.759,5.415028717,8.93
104.8,Illinois Institute of Technology,Illinois Inst. of Tech,,41,3.713572067,1,7787,8.960210956,785.911,6.666843554,7.88
73.7,Indiana University ?Bloomington,Indiana U,"NOT (Purdue OR ""Indiana University East"" OR Kokomo OR Northwest OR ""South Bend"" OR Southeast OR ""of Pennsylvania"" OR ""Indiana University Health"")",477,6.167516491,0,42133,10.64858656,756.39,6.628557116,8.4
92.3,Iowa State University,Iowa State,,122,4.804021045,0,33241,10.41153933,1123.479,7.0241854,7.88
13.5,Johns Hopkins University,Johns Hopkins,"""Johns Hopkins""",1260,7.138867,1,21001,9.952325335,188.344,5.238270078,8.33
36.2,Lehigh University,Lehigh,Lehigh,187,5.231108617,1,7080,8.865029187,82.764,4.415993184,7.33
79.2,Marquette University,Marquette,,59,4.077537444,1,11749,9.37152341,880.012,6.779935544,7.43
5.7,Massachusetts Institute of Technology,MIT,"at MIT OR ""from MIT"" OR ""Massachusetts Institute of Technology""",1570,7.358830898,1,11189,9.322686432,211.389,5.353700038,8.53
75.7,Miami University ?Oxford,Miami U ?Oxford,"""Miami University""",84,4.430816799,0,17683,9.780359005,649.35,6.475971863,6.78
72.7,Michigan State University,Michigan State,,239,5.476463552,0,48906,10.79765537,675.614,6.515621907,8
32.8,New York University,NYU,"""New York University"" OR NYU",5050,8.527143522,1,8258,9.018937706,1.64,0.494696242,9.88
94.8,North Carolina State University at Raleigh,N.C. State,"""North Carolina State University""",92,4.521788577,0,34767,10.45642394,488.725,6.191799959,7.43
75.3,Northeastern University,Northeastern,"""at Northeastern"" OR ""Northeastern University""",254,5.537334267,1,20447,9.925591451,213.948,5.365732995,8.48
12.3,Northwestern University,Northwestern,"""at Northwestern"" OR ""Northwestern University""",840,6.733401892,1,20439,9.925200119,803.304,6.688733223,8.95
54.8,Ohio State University ?Columbus,Ohio State,"NOT (""Agricultural Technical Institute"" OR Lima OR Mansfield OR Marion OR Newark)",418,6.035481433,0,56387,10.93999391,538.484,6.288757784,8.15
45.2,Pennsylvania State University ?University Park,Penn State,"""Pennsylvania State University"" OR ""Penn State"" NOT (Dickinson OR ""College of Medicine"")",603,6.401917197,0,45783,10.73166812,235.249,5.460644528,7.86
55.5,Pepperdine University,Pepperdine,,61,4.110873864,1,7319,8.898228986,2821.018,7.944853092,6.51
1.3,Princeton University,Princeton,Princeton,3714,8.219864742,1,8010,8.98844604,50.119,3.914400178,7.86
62.8,Purdue University ?West Lafayette,Purdue,"NOT (""Fort Wayne"" OR Indianapolis OR Columbus OR Calumet OR ""North Central"" OR "" College of Technology"")",124,4.820281566,0,39256,10.57785958,770.7,6.647299193,7.61
43.2,Rensselaer Polytechnic Institute,RPI,"""Rensselaer Polytechnic Institute"" OR RPI",81,4.394449155,1,6999,8.853522561,156.778,5.054830792,7.63
17.2,Rice University,Rice,,240,5.480638923,1,12126,9.403107187,1629.512,7.396035862,8.13
65,"Rutgers, the State University of New Jersey ?New Brunswick",Rutgers,"Rutgers NOT (Newark OR Camden OR ""Biomedical * Health Science"")",1025,6.932447892,0,40434,10.60742629,35.966,3.582574048,8.73
63.2,Southern Methodist University,Southern Methodist,,182,5.204006687,1,10893,9.29587566,1550.499,7.346332094,5.81
87.8,St. Louis University,St. Louis,"""St. Louis University"" OR ""Saint Louis University""",77,4.343805422,1,14073,9.552013347,950.019,6.856481984,8.85
4.5,Stanford University,Stanford,Stanford,3275,8.094073148,1,18217,9.810110503,2936.777,7.985068,8.85
83,Stevens Institute of Technology,Stevens Institute of Tech,,48,3.871201011,1,5649,8.639233817,4.438,1.490203825,7.96
96.7,Stony Brook University ?SUNY,Stony Brook,Stony Brook AND (SUNY OR University),779,6.658011046,0,24149,10.09199825,57.015,4.043314391,8.23
82.5,SUNY College of Environmental Science and Forestry,SUNY Environmental,"""College of Environmental Science and Forestry""",9,2.197224577,0,2401,7.783640596,247.08,5.509712171,8.18
56.7,Syracuse University,Syracuse,,437,6.079933195,1,21029,9.953657716,246.812,5.508626913,8.33
62.8,Texas A&M University ?College Station,Texas A&M,"""Texas A&M"" NOT (""Corpus Christi"" OR ""San Antonio"" OR Kingsville OR ""Stephenville"" OR Laredo OR Canyon OR Killeen OR Texarkana OR Commerce OR ""Prairie View"" OR ""Health Science"")",283,5.645446898,0,50227,10.82430801,1644.668,7.405293819,5.71
101.5,Texas Christian University,Texas Christian,,40,3.688879454,1,9727,9.182660803,1581.835,7.366340845,6.58
28.2,Tufts University,Tufts,"""at Tufts"" Or ""Tufts University""",413,6.023447593,1,10837,9.290721484,216.954,5.37968535,8.9
50.7,Tulane University,Tulane,Tulane,282,5.641907071,1,13486,9.509407389,1305.641,7.174449387,8.38
85,University of Alabama,U of Alabama,NOT Birmingham OR Huntsville,138,4.927253685,0,34852,10.4588658,1017.493,6.925097038,6.33
109.5,University of Arizona,U of Arizona,,285,5.65248918,0,39236,10.57734997,2405.998,7.785720065,8.13
21,University of California ?Berkeley,Berkeley,"Berkeley AND ""University of California""",1886,7.542213463,0,35899,10.48846472,2894.546,7.970583556,9.88
40.7,University of California ?Davis,UC ?Davis,"Davis AND ""University of California""",484,6.182084907,0,32354,10.38449294,2818.642,7.944010488,8.73
44.8,University of California ?Irvine,UC ?Irvine,"Irvine AND ""University of California""",313,5.746203191,0,27479,10.22117736,2792.039,7.934527432,8.1
24.5,University of California ?Los Angeles,UCLA,"""University of California at Los Angeles"" OR ""University of California Los Angeles"" OR UCLA",1372,7.224024808,0,41341,10.62961002,2084.917,7.642484325,8.68
36.5,University of California ?San Diego,UC ?San Diego,"""San Diego"" AND ""University of California""",549,6.308098442,0,28294,10.25040505,2767.139,7.925569213,8.15
42,University of California ?Santa Barbara,UC ?Santa Barbara,"""Santa Barbara"" AND ""University of California""",213,5.361292166,0,21927,9.995474033,2892.057,7.969723293,9.03
79.8,University of California ?Santa Cruz,UC ?Santa Cruz,"""Santa Cruz"" AND ""University of California""",187,5.231108617,0,17404,9.764455344,2963.99,7.994291613,10
97.3,University of California Riverside,UC Riverside,"Riverside AND ""University of California""",124,4.820281566,0,20956,9.950180281,2757.945,7.922241116,8.6
7.3,University of Chicago,UChicago,,1515,7.323170718,1,12508,9.434123719,790.309,6.672424008,9.08
83.2,University of Colorado ?Boulder,U of Colorado,NOT (Colorado Springs OR Denver),335,5.814130532,0,31725,10.36486029,1792.544,7.491391119,9.1
63.3,University of Connecticut,U Conn,"NOT (""Avery Point"" OR ""Stamford"" OR ""Greater Hartford"" OR ""Waterbury"" OR Torrington OR ""Law School"" OR ""Health Center"")",246,5.505331536,0,25483,10.14576684,140.095,4.942320764,8.38
72.5,University of Delaware,U of Delaware,NOT (Dover OR Wilmington OR Lewes OR Georgetown),155,5.043425117,0,21081,9.95612744,130.625,4.872330623,8.08
86.2,University of Denver,U of Denver,,107,4.672828834,1,11656,9.363576348,1783.87,7.486540441,7.81
50.8,University of Florida,U of Florida,,342,5.834810737,0,49913,10.81803677,1002.195,6.909947873,8.43
58.8,University of Georgia,U of Georgia,,165,5.105945474,0,34519,10.44926518,828.247,6.719311419,7.18
41.7,University of Illinois ?Urbana ?Champaign,U of Illinois,"NOT (""University of Illinois at Chicago"" OR ""University of Illinois Chicago"" OR Springfield)",457,6.124683391,0,44520,10.70369381,827.204,6.718051339,8.08
69.5,University of Iowa,U of Iowa,,302,5.710427017,0,30119,10.31291148,999.047,6.906801825,8.75
96,University of Kansas,U of Kansas,"NOT (Wichita OR ""Overland Park"" OR Salina OR ""Kansas City"")",126,4.836281907,0,27784,10.23221559,1229.3,7.114200181,8.55
55.5,University of Maryland ?College Park,U of Maryland,"NOT (Baltimore OR ""Eastern Shore"" OR ""Maryland Medical System"")",507,6.228511004,0,37197,10.52398339,220.098,5.394072902,8.45
98,University of Massachusetts ?Amherst,UMass ?Amherst,NOT (Worcester OR Lowell OR Boston OR Dartmouth),224,5.411646052,0,28236,10.24835304,167.647,5.121860578,9.13
47.5,University of Miami,U of Miami,,286,5.655991811,1,16172,9.691036631,1283.993,7.157730033,8.4
27.2,University of Michigan ?Ann Arbor,Michigan,NOT (Flint OR Dearborn),1682,7.427738841,0,43426,10.67881362,612.183,6.417031257,9.2
65.7,University of Minnesota ?Twin Cities,U of Minnesota,NOT (Duluth OR Morris OR Crookston OR Rochester OR Waseca),558,6.324358962,0,51853,10.85616807,1194.352,7.085359058,8.73
95,University of Missouri,U of Missouri,"NOT (""Kansas City"" OR ""St. Louis"")",115,4.744932128,0,34748,10.4558773,1066.034,6.971700499,7.81
97,University of Nebraska Lincoln,U of Nebraska,"NOT (Omaha OR Kearney OR ""Medical Center"")",110,4.700480366,0,24593,10.11021713,1298.459,7.168933456,7.11
105.5,University of New Hampshire,U of New Hampshire,"NOT (Manchester OR ""School of Law"")",120,4.787491743,0,15301,9.635673465,274.594,5.615293643,8.18
29.2,University of North Carolina ?Chapel Hill,UNC,"NOT (Asheville OR Charlotte OR Greensboro OR Pembroke OR Wilmington OR ""School of the Arts"")",578,6.359573869,0,29278,10.28459166,497.071,6.208732873,9.15
18.8,University of Notre Dame,Notre Dame,"""Notre Dame""",677,6.517671273,1,6484,8.777092883,697.181,6.547045061,6.28
5.3,University of Pennsylvania,Upenn,,1853,7.524561226,1,21339,9.968291663,96.087,4.565254031,8.3
59.5,University of Pittsburgh,U of Pittsburgh,,354,5.869296913,0,28769,10.2670537,367.489,5.906693386,7.88
34.8,University of Rochester,Rochester,,224,5.411646052,1,44516,10.70360395,332.897,5.807833133,8.1
100.2,University of San Diego,U of San Diego,,70,4.248495242,1,8105,9.000236434,2759.936,7.92296277,7.03
24.8,University of Southern California,USC,"""University of Southern California""",887,6.787844982,1,39958,10.59558418,2796.09,7.935977292,8.03
46.7,University of Texas ?Austin,UT ?Austin,"""University of Texas"" OR ""UT Austin"" NOT (Arlington OR Brownsville OR Dallas OR ""El Paso"" OR ""San Antonio"" OR Tyler OR ""Permian Basin"" OR ""Pan American"")",991,6.898714534,0,52186,10.86256954,1740.193,7.461751306,8.53
86,University of Tulsa,Tulsa,,18,2.890371758,1,4326,8.372398607,1340.777,7.201004576,7.51
88.5,University of Vermont,U of Vermont,,156,5.049856007,0,13097,9.480138475,299.824,5.703195636,9.43
23.8,University of Virginia,Virginia,,731,6.59441346,0,23907,10.08192658,341.139,5.832290019,7.58
43.3,University of Washington,U of Washington,NOT (Tacoma OR Bothell),715,6.572282543,0,42568,10.65885808,2853.307,7.956233951,9.13
40,University of Wisconsin ?Madison,U of Wisconsin,"NOT (""Eau Claire"" OR ""Green Bay"" OR ""La Crosse"" OR Oshkosh OR Parkside OR Platteville OR ""River Falls"" OR ""Stevens Point"" OR Stout OR Superior OR Whitewater)",684,6.527957918,0,42820,10.66476056,935.746,6.841344072,9.15
17.5,Vanderbilt University,Vanderbilt,,1253,7.133295955,1,12710,9.450144364,884.025,6.784485343,7.36
70.3,Virginia Tech,Virginia Tech,"Virginia Tech OR ""Virginia Polytechnic Institute""",368,5.908082938,0,31087,10.344545,489.31,6.192996235,7.46
26.5,Wake Forest University,Wake Forest,"""Wake Forest""",155,5.043425117,1,7432,8.91355028,566.181,6.338913815,7.16
12.8,Washington University in St. Louis,Wash U,"""Washington University"" NOT ""George Washington University""",464,6.139884552,1,13952,9.543378146,956.049,6.862809167,8.85
64.8,Worcester Polytechnic Institute,WPI,,20,2.995732274,1,5957,8.692322278,177.738,5.180310556,7.86
3,Yale University,Yale,Yale,4804,8.477204183,1,11906,9.384797754,80.918,4.393436296,9.13
49.3,Yeshiva University,Yeshiva,Yeshiva,521,6.255750042,1,6753,8.81774213,12.756,2.546001749,7.31
